state_id,has_hot,hot_attitude,is_conscious,qualia_intensity,concept_resolution,hot_state_id,qualia_label
s_1,0,None,0,0.370,0.370,,q_1
s_2,1,Assert,1,0.740,0.440,h_2,q_2
s_3,0,None,0,0.110,0.510,,q_3
s_4,1,Assert,1,0.480,0.580,h_4,q_4
s_5,0,None,0,0.850,0.650,,q_5
s_6,1,Assert,1,0.220,0.720,h_6,q_6
s_7,0,None,0,0.590,0.790,,q_7
s_8,1,Assert,1,0.960,0.860,h_8,q_8
s_9,0,None,0,0.330,0.330,,q_9
s_10,1,Assert,1,0.700,0.400,h_10,q_10
s_11,0,None,0,0.070,0.470,,q_11
s_12,1,Assert,1,0.440,0.540,h_12,q_12
s_13,0,None,0,0.810,0.610,,q_13
s_14,1,Assert,0,0.180,0.680,h_14,q_14
s_15,0,None,0,0.550,0.750,,q_15
s_16,1,Assert,1,0.920,0.820,h_16,q_16
s_17,0,None,0,0.290,0.890,,q_17
s_18,1,Assert,1,0.660,0.360,h_18,q_18
s_19,0,None,0,0.030,0.430,,q_19
s_20,1,Assert,1,0.400,0.500,h_20,q_20
s_21,0,None,0,0.770,0.570,,q_21
s_22,1,Assert,1,0.140,0.640,h_22,q_22
s_23,0,None,0,0.510,0.710,,q_23
s_24,1,Assert,1,0.880,0.780,h_24,q_24
s_25,0,None,0,0.250,0.850,,q_25
s_26,1,Assert,1,0.620,0.320,h_26,q_26
s_27,0,None,0,0.990,0.390,,q_27
s_28,1,Assert,1,0.360,0.460,h_28,q_28
s_29,0,None,1,0.730,0.530,,q_29
s_30,1,Assert,1,0.100,0.600,h_30,q_30
s_31,0,None,0,0.470,0.670,,q_31
s_32,1,Assert,1,0.840,0.740,h_32,q_32
s_33,0,None,0,0.210,0.810,,q_33
s_34,1,Assert,1,0.580,0.880,h_34,q_34
s_35,0,None,0,0.950,0.350,,q_35
s_36,1,Assert,1,0.320,0.420,h_36,q_36
s_37,0,None,0,0.690,0.490,,q_37
s_38,1,Assert,1,0.060,0.560,h_38,q_38
s_39,0,None,0,0.430,0.630,,q_39
s_40,1,Assert,1,0.800,0.700,h_40,q_40
s_41,1,Doubt,1,0.170,0.770,s_41,q_41
s_42,1,Assert,1,0.540,0.840,h_42,q_42
s_43,0,None,0,0.910,0.310,,q_43
s_44,1,Assert,1,0.280,0.380,h_44,q_44
s_45,0,None,0,0.650,0.450,,q_45
s_46,1,Assert,1,0.020,0.520,h_46,q_46
s_47,0,None,0,0.390,0.590,,q_47
s_48,1,Assert,1,0.760,0.660,h_48,q_48
s_49,0,None,0,0.130,0.730,,q_49
s_50,1,Assert,1,0.500,0.800,h_50,q_50
